"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Jonathan_Taumateine","Jonathan Taumateine","Scrum-half","(1996-09-28)28 September 1996 (aged 26)",11,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Christian_Leali%27ifano","Christian Leali'ifano","Fly-half","(1987-09-24)24 September 1987 (aged 35)",3,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Lima_Sopoaga","Lima Sopoaga","Fly-half","(1991-02-03)3 February 1991 (aged 32)",1,NA,"Samoa","Shimizu Blue Sharks","New Zealand",-41.2887953,174.7772114
"Auckland, New Zealand","https://en.wikipedia.org/wiki/D%27Angelo_Leuila","D'Angelo Leuila","Centre","(1997-01-18)18 January 1997 (aged 26)",18,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Apia, Samoa","https://en.wikipedia.org/wiki/Tumua_Manu","Tumua Manu","Centre","(1993-04-18)18 April 1993 (aged 30)",7,NA,"Samoa","Pau","Samoa",-13.8344639,-171.7649144
"Porirua, New Zealand","https://en.wikipedia.org/wiki/Duncan_Paia%27aua","Duncan Paia'aua","Centre","(1995-01-20)20 January 1995 (aged 28)",6,NA,"Samoa","Toulon","New Zealand",-41.1354217,174.8397824
"Adelaide, South Australia, Australia","https://en.wikipedia.org/wiki/UJ_Seuteni","UJ Seuteni","Centre","(1993-12-09)9 December 1993 (aged 29)",12,NA,"Samoa","La Rochelle","Australia",-34.9281805,138.5999312
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Nigel_Ah_Wong","Nigel Ah Wong","Wing","(1990-05-30)30 May 1990 (aged 33)",8,NA,"Samoa","Lakapi Samoa","New Zealand",-41.2887953,174.7772114
"Motoʻotua, Samoa","https://en.wikipedia.org/wiki/Ed_Fidow","Ed Fidow","Wing","(1993-09-11)11 September 1993 (aged 29)",19,NA,"Samoa","New York","Samoa",-13.84660305,-171.761510105151
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Neria_Fomai","Neria Fomai","Wing","(1992-02-03)3 February 1992 (aged 31)",8,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Ben_Lam","Ben Lam","Wing","(1991-06-09)9 June 1991 (aged 32)",0,NA,"Samoa","Montpellier","New Zealand",-36.5412811,174.550610491441
"Hastings, New Zealand","https://en.wikipedia.org/wiki/Danny_Toala","Danny Toala","Fullback","(1999-03-26)26 March 1999 (aged 24)",8,NA,"Samoa","Moana Pasifika","New Zealand",-39.6417678,176.8430781
NA,"https://en.wikipedia.org/w/index.php?title=Augusto_B%C3%B6hme&action=edit&redlink=1","Augusto Böhme","Hooker","(1997-06-11)11 June 1997 (aged 26)",22,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Tom%C3%A1s_Dussaillant&action=edit&redlink=1","Tomás Dussaillant","Hooker","(1990-10-06)6 October 1990 (aged 32)",37,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Diego_Escobar&action=edit&redlink=1","Diego Escobar","Hooker","(2000-04-17)17 April 2000 (aged 23)",5,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Javier_Carrasco&action=edit&redlink=1","Javier Carrasco","Prop","(1997-08-24)24 August 1997 (aged 26)",19,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Mat%C3%ADas_Dittus&action=edit&redlink=1","Matías Dittus","Prop","(1993-07-16)16 July 1993 (aged 30)",21,"Périgueux","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=I%C3%B1aki_Gurruchaga&action=edit&redlink=1","Iñaki Gurruchaga","Prop","(1995-10-13)13 October 1995 (aged 27)",11,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Esteban_Inostroza&action=edit&redlink=1","Esteban Inostroza","Prop","(1994-01-01)1 January 1994 (aged 29)",1,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Vittorio_Lastra&action=edit&redlink=1","Vittorio Lastra","Prop","(1996-03-26)26 March 1996 (aged 27)",22,"Selknam","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/Salvador_Lues","Salvador Lues","Prop","(1999-11-06)6 November 1999 (aged 23)",11,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
NA,"https://en.wikipedia.org/w/index.php?title=Javier_Eissman&action=edit&redlink=1","Javier Eissman","Lock","(1997-03-21)21 March 1997 (aged 26)",21,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Pablo_Huete&action=edit&redlink=1","Pablo Huete","Lock","(1989-01-11)11 January 1989 (aged 34)",30,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Santiago_Pedrero&action=edit&redlink=1","Santiago Pedrero","Lock","(2000-11-30)30 November 2000 (aged 22)",6,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Augusto_Sarmiento&action=edit&redlink=1","Augusto Sarmiento","Lock","(1993-04-30)30 April 1993 (aged 30)",15,"PWCC","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Alfonso_Escobar_(rugby_union)&action=edit&redlink=1","Alfonso Escobar","Back row","(1997-08-17)17 August 1997 (aged 26)",18,"Selknam","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/Raimundo_Mart%C3%ADnez","Raimundo Martínez","Back row","(1999-11-25)25 November 1999 (aged 23)",10,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
NA,"https://en.wikipedia.org/w/index.php?title=Thomas_Orchard&action=edit&redlink=1","Thomas Orchard","Back row","(1997-01-12)12 January 1997 (aged 26)",12,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Clemente_Saavedra&action=edit&redlink=1","Clemente Saavedra","Back row","(1997-12-15)15 December 1997 (aged 25)",20,"Selknam","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/Mart%C3%ADn_Sigren","Martín Sigren (c)","Back row","(1996-05-14)14 May 1996 (aged 27)",27,"Doncaster Knights","Chile",NA,"Chile",-33.4377756,-70.6504502
"Santiago, Chile","https://en.wikipedia.org/wiki/Ignacio_Silva","Ignacio Silva","Back row","(1989-02-16)16 February 1989 (aged 34)",38,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
NA,"https://en.wikipedia.org/w/index.php?title=Lukas_Carvallo&action=edit&redlink=1","Lukas Carvallo","Scrum-half","(2001-07-06)6 July 2001 (aged 22)",6,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Nicol%C3%A1s_Herreros&action=edit&redlink=1","Nicolás Herreros","Scrum-half","(1990-01-23)23 January 1990 (aged 33)",5,"Selknam","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/Marcelo_Torrealba","Marcelo Torrealba","Scrum-half","(1996-05-06)6 May 1996 (aged 27)",12,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
NA,"https://en.wikipedia.org/w/index.php?title=Benjam%C3%ADn_Videla&action=edit&redlink=1","Benjamín Videla","Scrum-half","(2001-04-24)24 April 2001 (aged 22)",0,"Selknam","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/Rodrigo_Fern%C3%A1ndez_(rugby_union)","Rodrigo Fernández","Fly-half","(1996-02-08)8 February 1996 (aged 27)",23,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
"Santiago, Chile","https://en.wikipedia.org/wiki/Santiago_Videla","Santiago Videla","Fly-half","(1998-01-16)16 January 1998 (aged 25)",25,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
NA,"https://en.wikipedia.org/w/index.php?title=Pablo_Casas&action=edit&redlink=1","Pablo Casas","Centre","(1992-03-04)4 March 1992 (aged 31)",15,"Selknam","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/Mat%C3%ADas_Garafulic","Matías Garafulic","Centre","(2000-09-01)1 September 2000 (aged 23)",12,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
NA,"https://en.wikipedia.org/w/index.php?title=Jos%C3%A9_Ignacio_Larenas&action=edit&redlink=1","José Ignacio Larenas","Centre","(1989-09-14)14 September 1989 (aged 33)",47,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Crist%C3%B3bal_Game_Jim%C3%A9nez&action=edit&redlink=1","Cristóbal Game Jiménez","Wing","(2002-07-09)9 July 2002 (aged 21)",1,"Old John's","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Domingo_Saavedra&action=edit&redlink=1","Domingo Saavedra","Centre","(1997-12-15)15 December 1997 (aged 25)",24,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Nicol%C3%A1s_Garafulic&action=edit&redlink=1","Nicolás Garafulic","Wing","(1998-09-11)11 September 1998 (aged 24)",19,"Selknam","Chile",NA,NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Franco_Velarde&action=edit&redlink=1","Franco Velarde","Wing","(1994-11-04)4 November 1994 (aged 28)",16,"VOBGS","Chile",NA,NA,NA,NA
"Santiago, Chile","https://en.wikipedia.org/wiki/I%C3%B1aki_Ayarza","Iñaki Ayarza","Fullback","(1999-09-07)7 September 1999 (aged 24)",14,"Soyaux Angoulême","Chile",NA,"Chile",-33.4377756,-70.6504502
"Santiago, Chile","https://en.wikipedia.org/wiki/Francisco_Urroz_(rugby_union)","Francisco Urroz","Fullback","(1993-09-07)7 September 1993 (aged 30)",11,"Selknam","Chile",NA,"Chile",-33.4377756,-70.6504502
